calle,seccion,posicion,codigo,bultos,zona_observaciones
Calle 0,00.01,Posicion 1,402402,8,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 2,402415,10,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 3,402415,10,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 4,402415,10,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 5,402415,10,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 6,402434/402438,8,Oficina - ALCAMPOS (4 bultos c/u)
Calle 0,00.01,Posicion 7,402883,8,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 8,402982,10,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 9,403086/403088,8,Oficina - ALCAMPOS (4 bultos c/u)
Calle 0,00.01,Posicion 10,406284,4,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 11,415335,8,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 12,415341,5,Oficina - ALCAMPOS
Calle 0,00.01,Posicion 13,415341,5,DISMA
Calle 0,00.01,Posicion 14,416405,7,DISMA
Calle 0,00.01,Posicion 15,416405,7,DISMA
Calle 0,00.01,Posicion 16,416450,8,DISMA
Calle 0,00.01,Posicion 17,416504,8,DISMA
Calle 0,00.01,Posicion 18,416504,6,DISMA
Calle 0,00.01,Posicion 19,403076,7,DISMA
Calle 0,00.01,Posicion 20,403139,6,DISMA
Calle 0,00.01,Posicion 21,404587,5,DISMA
Calle 0,00.01,Posicion 22,416809,8,DISMA
Calle 0,00.01,Posicion 23,416810,8,DISMA
Calle 0,00.01,Posicion 24,403073,7,DISMA
Calle 0,00.01,Posicion 25,403076,7,ROBERTO LA PALMA
Calle 0,00.01,Posicion 26,403076,7,ROBERTO LA PALMA
Calle 0,00.01,Posicion 27,402412,7,ROBERTO LA PALMA
Calle 0,00.01,Posicion 28,402412,7,ROBERTO LA PALMA
Calle 0,00.01,Posicion 29,402412,7,ROBERTO LA PALMA
Calle 0,00.01,Posicion 30,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 31,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 32,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 33,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 34,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 35,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 36,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 37,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 38,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 39,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 40,402505,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 41,402534,8,ROBERTO LA PALMA
Calle 0,00.01,Posicion 42,402534,8,ROBERTO LA PALMA
Calle 0,00.02,Posicion 1,402534,8,DINOSOL
Calle 0,00.02,Posicion 2,402888,9,DINOSOL
Calle 0,00.02,Posicion 3,403073,7,DINOSOL
Calle 0,00.02,Posicion 4,403073,7,DINOSOL
Calle 0,00.02,Posicion 5,403073,7,DINOSOL
Calle 0,00.02,Posicion 6,403073,7,DINOSOL
Calle 0,00.02,Posicion 7,403073,7,DINOSOL
Calle 0,00.02,Posicion 8,403073,7,DINOSOL
Calle 0,00.02,Posicion 9,403073,7,DINOSOL
Calle 0,00.02,Posicion 10,403073,7,DINOSOL
Calle 0,00.02,Posicion 11,403073,7,DINOSOL
Calle 0,00.02,Posicion 12,403073,7,DINOSOL
Calle 0,00.02,Posicion 13,403073,7,DINOSOL
Calle 0,00.02,Posicion 14,403073,7,DINOSOL
Calle 0,00.02,Posicion 15,403073,7,DINOSOL
Calle 0,00.02,Posicion 16,403076,7,DINOSOL
Calle 0,00.02,Posicion 17,403076,7,DINOSOL
Calle 0,00.02,Posicion 18,403076,7,DINOSOL
Calle 0,00.02,Posicion 19,403076,7,DINOSOL
Calle 0,00.02,Posicion 20,403076,7,DINOSOL
Calle 0,00.02,Posicion 21,403076,7,DINOSOL
Calle 0,00.02,Posicion 22,403076,7,DINOSOL
Calle 0,00.02,Posicion 23,403076,7,DINOSOL
Calle 0,00.02,Posicion 24,403076,7,DINOSOL
Calle 0,00.02,Posicion 25,403076,7,DINOSOL
Calle 0,00.02,Posicion 26,403076,7,DINOSOL
Calle 0,00.02,Posicion 27,403076,7,DINOSOL
Calle 0,00.02,Posicion 28,403076,7,DINOSOL
Calle 0,00.02,Posicion 29,403076,7,DINOSOL
Calle 0,00.02,Posicion 30,404587,5,DINOSOL
Calle 0,00.02,Posicion 31,404587,5,DINOSOL
Calle 0,00.02,Posicion 32,404587,5,DINOSOL
Calle 0,00.02,Posicion 33,404587,5,DINOSOL
Calle 0,00.02,Posicion 34,404587,5,DINOSOL
Calle 0,00.02,Posicion 35,416480,8,DINOSOL
Calle 0,00.02,Posicion 36,416480,8,DINOSOL
Calle 0,00.02,Posicion 37,416480,8,DINOSOL
Calle 0,00.02,Posicion 38,416480,8,DINOSOL
Calle 0,00.02,Posicion 39,416480,8,DINOSOL
Calle 0,00.02,Posicion 40,416958,5,DINOSOL
Calle 0,00.02,Posicion 41,416958,5,DINOSOL
Calle 0,00.02,Posicion 42,416958,5,DINOSOL
