Calle,Posición,Columna A,Columna B,Columna C,Columna D
Calle 1,1,306341x2,306341,306341x2,
Calle 1,2,306341x2,306341,306341x2,
Calle 1,3,306341x2,402707,403044,
Calle 1,4,403044x2,403044,403174,
Calle 1,5,403573x2,403573,402399,
Calle 1,6,403573x2,403573,403573x2,
Calle 1,7,403573x2,403800,403800x2,
Calle 1,8,403800x2,403800,403800x2,
Calle 1,9,403998x2,403998,403998x2,
Calle 1,10,403998x2,403998,403998,
Calle 1,11,403998x2,403998,403998,
Calle 1,12,403998x2,403998,403998x2,
Calle 1,13,403998x2,403998,403998x2,
Calle 1,14,404522,407271,407271x2,
Calle 1,15,407330x2,407330,407330x2,
Calle 1,16,408503x2,408503,408503x2,
Calle 1,17,408503x2,407999,407999,
Calle 1,18,407999x2,407999,407999,
Calle 1,19,407999x2,407999,407999x2,
Calle 1,20,407999x2,407999,407999x2,
Calle 1,21,407999x2,407999,407999x2,
Calle 1,22,,407999,,
Calle 1,23,,407999,,
Calle 1,24,,408159,,
Calle 1,25,408162x2,408242,408242,
Calle 1,26,408242x2,408242,408242,
Calle 1,27,408242x2,408242,408242x2,
Calle 1,28,408242x2,408242,408242x2,
Calle 1,29,408242x2,408242,408242x2,
Calle 1,30,408255x2,408256,408256x2,
Calle 1,31,408365x2,408365,408365x2,
Calle 1,32,408365x2,408365,408365,
Calle 1,33,408365x2,408365,408365,
Calle 1,34,408534x2,408534,408534x2,
Calle 1,35,408534x2,408534,408534x2,
Calle 1,36,408534x2,408534,408534x2,
Calle 1,37,408534x2,408534,408534x2,
Calle 1,38,408534x2,408534,408558x2,
Calle 1,39,408558x2,408558,408558x2,
Calle 2,45,412613x2,412613,412613x2,
Calle 2,44,412613x2,412613,412613x2,
Calle 2,43,412613x2,412613,412613x2,
Calle 2,42,412613x2,412613,412613x2,
Calle 2,41,412596x2,412596,412596x2,
Calle 2,40,412596x2,412596,412596,
Calle 2,39,412596x2,412596,412596,
Calle 2,38,412596x2,412596,412596,
Calle 2,37,412596x2,412596,412596,
Calle 2,36,412596x2,412596,412596,
Calle 2,35,412596x2,412596,412596,
Calle 2,34,412596x2,412596,412596,
Calle 2,33,412596x2,412596,412596,
Calle 2,32,412596x2,412596,412596,
Calle 2,31,412596x2,412596,412596,
Calle 2,30,,412596,,
Calle 2,29,,412596,,
Calle 2,28,,412596,,
Calle 2,27,412596x2,412596,412596x2,
Calle 2,26,412596x2,412596,412596x2,
Calle 2,25,412596x2,412596,412596x2,
Calle 2,24,412596x2,412596,412596x2,
